BRP_24_H_16
11
8
11
4
15
8
12
8
14
11
11
19
16
8
5
10
2
1
2
2
0
0
6
7
0
7
1
0
1
3
2
6
3
3
51
3
0
13
55
8
3
4
41
19
0
4
41
5
0
1
2
1
0
1
2
1
0
0
1
0
0
0
0
0
12
6
34
8
3
8
34
7
5
6
18
3
5
0
7
6
0
0
2
0
1
4
1
0
1
1
0
0
0
3
2
0
