,BRP_24_G_13,BRP_6_H_11,BRP_2_H_17,BRP_6_G_7,BRP_1_H_20,BRP_1_G_3,BRP_2_H_7,BRP_6_G_18,BRP_6_H_18,BRP_1_H_31,BRP_1_H_15,BRP_1_G_23,BRP_2_G_18,BRP_6_H_8,BRP_24_H_20,BRP_6_G_14,BRP_24_H_16,BRP_24_H_7,BRP_2_G_14,BRP_24_G_17,BRP_24_G_6,BRP_2_H_13,BRP_2_G_25,BRP_1_G_19
47,7,7,7,5,7,3,7,7,7,7,7,7,7,7,5,7,5,7,7,7,7,7,6,7
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,0,1
51,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
55,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,12,12,12,15,12,9,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,15,12
65,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,6,5
66,34,34,34,47,34,31,34,34,34,34,34,34,34,34,30,34,34,34,34,34,34,34,41,34
67,7,7,7,13,7,6,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7
68,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
69,8,8,8,9,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8
70,35,35,34,45,34,33,35,34,34,35,34,34,34,34,36,34,34,35,35,34,35,34,40,34
71,6,6,6,11,6,8,7,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,7,6
72,3,4,4,6,3,3,3,4,4,3,4,4,4,4,3,4,5,3,4,4,4,3,6,4
73,6,6,6,8,6,7,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6
74,18,18,18,23,18,16,18,19,18,18,18,18,18,18,17,18,18,18,18,18,18,18,21,18
75,3,4,3,3,3,4,4,3,4,3,3,4,3,3,4,3,3,3,3,3,3,4,4,4
76,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78,7,7,7,8,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7
79,6,6,6,10,6,5,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,8,6
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
82,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
85,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,4,3,3,3,3,3
86,1,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
94,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
