BRP_24_H_20
4
4
4
0
1
4
9
3
5
7
4
3
4
6
1
3
3
1
1
1
1
0
4
7
0
7
1
0
1
3
2
6
2
1
44
4
0
8
33
5
8
7
36
10
0
3
18
5
0
1
0
0
0
1
1
1
0
0
1
0
0
0
1
0
10
5
30
7
2
8
36
6
3
5
17
4
5
0
5
7
0
0
2
0
1
3
0
0
1
0
0
0
0
3
1
0
