BRP_2_G_25
2
2
3
0
0
4
7
0
2
4
4
1
0
4
0
2
3
1
2
3
0
0
10
7
0
7
1
1
2
5
3
6
3
2
43
4
0
11
37
8
3
4
33
11
0
4
16
6
0
1
0
1
0
1
2
1
0
0
1
0
0
0
0
0
15
6
41
7
3
9
40
7
6
6
21
4
5
1
7
8
0
1
2
0
2
3
1
0
1
1
0
0
0
3
3
0
