BRP_6_H_18
2
2
3
0
0
3
6
0
2
4
4
1
0
4
0
2
2
1
1
2
0
0
6
7
0
7
1
0
1
3
2
6
2
1
36
5
0
11
33
8
5
3
27
10
1
4
18
7
0
1
1
1
0
1
2
1
0
0
1
0
0
0
0
0
12
5
34
7
3
8
34
6
4
6
18
4
5
0
7
6
0
0
2
0
1
3
0
0
1
1
0
0
0
3
2
0
