BRP_6_G_7
3
2
3
0
0
3
8
0
2
5
4
2
0
4
0
3
3
2
1
3
3
1
8
8
0
7
2
1
2
5
3
7
0
2
54
6
2
10
45
9
7
3
38
10
0
1
17
5
0
1
1
1
0
1
2
2
1
1
2
0
0
0
1
0
15
7
47
13
3
9
45
11
6
8
23
3
7
1
8
10
0
0
2
0
1
3
3
1
1
1
0
0
0
3
3
0
