BRP_6_G_7
2
2
3
0
0
3
8
0
1
5
4
2
0
4
0
3
3
2
1
3
3
1
8
8
0
7
2
1
2
5
3
7
7
6
35
11
7
13
29
14
8
5
25
11
7
5
0
12
0
1
1
1
0
1
2
2
0
1
2
0
0
0
1
0
15
7
47
13
3
9
45
11
6
8
23
3
7
1
8
10
0
0
2
0
1
3
2
1
1
1
0
0
0
3
3
0
