BRP_24_G_13
3
5
4
0
0
3
6
0
5
6
4
6
2
6
1
7
2
1
1
2
0
0
8
6
0
7
1
0
1
3
2
6
3
2
18
7
0
11
15
9
2
3
16
8
0
3
0
9
0
1
1
1
0
1
2
1
0
0
1
0
0
0
0
0
12
5
34
7
3
8
35
6
3
6
18
3
5
0
7
6
0
0
2
0
1
4
0
0
1
1
0
0
0
3
2
0
