BRP_2_H_17
1
2
3
0
0
3
6
0
1
4
3
1
0
4
0
2
2
1
1
2
0
0
6
7
0
7
1
0
1
3
2
6
4
2
15
6
0
10
19
8
3
2
12
10
0
4
0
9
0
1
1
1
0
1
2
1
0
0
1
0
0
0
0
0
12
5
34
7
3
8
34
6
4
6
18
3
5
0
7
6
0
0
2
0
1
3
0
0
1
1
0
0
0
3
2
0
