BRP_1_G_3
3
7
3
1
1
6
6
2
9
5
7
3
0
7
1
2
2
1
1
1
0
0
5
6
0
7
0
0
0
3
1
3
5
2
18
7
0
10
18
11
6
6
17
11
2
3
0
6
0
1
0
0
0
0
2
1
0
0
1
0
0
0
1
0
9
5
31
6
3
6
33
8
3
7
16
4
5
0
7
5
0
0
2
0
0
3
0
0
1
1
0
0
0
3
2
0
