BRP_1_H_15
1
2
4
0
0
3
6
0
1
5
3
1
0
5
0
2
2
1
1
2
0
0
6
7
0
7
1
0
1
3
2
6
3
2
18
7
0
11
17
9
3
3
15
9
2
4
0
10
0
1
1
1
0
1
2
1
0
0
1
0
0
0
0
0
12
5
34
7
3
8
34
6
4
6
18
3
5
0
7
6
0
0
2
0
1
3
1
0
1
1
0
0
0
3
2
0
