BRP_6_H_18
1
2
3
0
0
3
6
0
1
4
4
1
0
4
0
2
2
1
1
2
0
0
6
7
0
7
1
0
1
3
2
6
4
2
19
7
0
11
19
9
3
2
16
9
2
5
3
10
0
1
1
1
0
1
2
1
0
0
1
0
0
0
0
0
12
5
34
7
3
8
34
6
4
6
18
4
5
0
7
6
0
0
2
0
1
3
0
0
1
1
0
0
0
3
2
0
