BRP_6_H_8
1
2
3
0
0
3
6
0
1
4
4
0
1
4
0
2
2
1
1
2
0
0
7
7
0
7
1
0
1
3
2
6
4
2
18
7
0
10
17
9
3
2
14
9
1
5
0
10
0
1
1
1
0
1
2
1
0
0
1
0
0
0
0
0
12
5
34
7
3
8
34
6
4
6
18
3
5
0
7
6
0
0
2
0
1
3
1
0
1
1
0
0
0
3
2
0
