BRP_24_H_16
9
8
11
4
15
8
12
8
13
11
11
19
16
8
5
10
2
1
2
2
0
0
6
6
0
7
1
0
1
3
2
6
6
4
24
6
0
13
32
9
1
3
23
18
1
4
16
9
0
1
2
1
0
1
2
1
0
0
1
0
0
0
0
0
12
6
34
8
3
8
34
7
5
6
18
3
5
0
7
6
0
0
2
0
1
4
0
0
1
1
0
0
0
3
2
0
